""	E9.5_vivo_RNA	E12.5_vivo_RNA	E18.5_vivo_RNA	Primordial_NGO_vivo_RNA	Preantral_P14_vivo_RNA	Antral_FGO_vivo_RNA	PGCLCs_H18_RNA	c7_H18_RNA	c13_H18_RNA	c34_H18_RNA
Vcpip1	5.11206412584258	5.44699151029056	6.4908682848788	6.13483774106486	6.58251642614345	6.5141288782613	5.61449230545981	5.72446526936436	6.28532620431825	6.78693623032298
1700034P13Rik	0.169283518500576	0	0.596633553031802	0	0.0635238666917011	0.140134184001964	0.206363669295821	0.786414922521186	0	0.219376125036537
Gm39590	0.169283518500576	0	0.19263267967534	0.280536138703464	0	0.0541840357102755	0	0	0.58438519175041	0
Sgk3	3.32647568833636	4.7755616109829	2.20334404064723	0.591895851069792	1.17066418532188	0.581714341691867	1.98107097668688	4.89715281436742	3.26828738000309	0.681133640482802
Mcmdc2	3.35973931183573	3.77276757546947	3.09280048532572	0.531246092167684	0.489937498190353	0.662077923430113	3.61713448031019	4.63124738753258	4.64483636374498	2.8471378931299
Snhg6	6.40477435191416	6.15499097659674	3.80761342192242	1.0704246831401	1.90344514917339	1.01743766070324	6.01929666450185	5.26953453517926	5.71823555337957	3.67069834262022
Snord87	0.158420424764794	0.201306521493585	0	0	0	0	0.206363669295821	0	0.349820232844819	0
Tcf24	0	1.5976626607134	4.68868610361058	1.60181294706899	2.41088672914195	0.167683708317281	0.206363669295821	3.51203361839553	5.23516962565341	1.03609060171584
Ppp1r42	0.169283518500576	0.237749993632475	0.201197375250307	0.487083002843222	0.418896917435601	1.13353033038565	0.497724168991965	0.407746727612306	1.14113232722939	1.18932649036139
Cops5	7.01808045777533	7.18524539782983	7.45997501171258	7.95190647675438	7.06812388444229	7.27732676719419	7.47542313899653	6.95158805927461	7.22182849750361	7.06214971376481
Cspp1	5.43244799877402	5.01596571315731	5.50166044783119	3.77615675957024	4.18137109209516	2.56310574527106	5.71568207235988	5.18345174641237	5.87808149150092	4.87775924413657
Arfgef1	6.02349000065252	7.21839718838949	8.18218274510726	7.79303290988927	7.90885792823277	7.71420331862999	6.12721264106693	7.31950431049905	8.67687500262569	7.74578835150665
Cpa6	0	0	0	0	0	0.795222657991523	0	0	0	0.0482073808594404
Prex2	2.65803166317362	1.69981372260998	1.87389833314955	1.46950618131473	1.02925346527526	2.86009710386434	2.99436736291933	2.72989280103865	4.34612586294893	5.3369754285063
A830018L16Rik	2.44637553883151	1.64619092985703	0.19263267967534	0	0.275452130586701	0.759048616336038	4.06843695020815	0.772895280403482	0	2.15263145487143
Gm30898	0	0	0	0	0	0	0	0	0	0
Gm30974	0	0	0	0	0.320681741732388	0.334629150241237	0	0	0.214714251043626	0
Gm39591	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0.201306521493585	0	0.329277282597655	0.903710719675555	0.194318219712239	0.457478043716555	0	0	1.40138232823928
Sulf1	4.00332950041319	2.53454188407516	3.32439610332301	0	1.35495761630155	0.046368602080009	4.23240336594246	1.82123682537594	3.02497333503214	1.81880833893049
Slco5a1	3.26560389912168	2.91387436354041	1.25140998534871	0.172493657867584	4.54129321476799	2.9628731969539	2.52889263996443	2.72080973325143	0	4.45452800032234
Gm39592	0	0	0	0	0.094887107030265	0.833289598266085	0	0	0	0.188931104755868
Prdm14	6.27295953827628	5.90412611570905	0	0	0	0.241416199806623	6.38811218074361	5.87448147109158	1.62458089323964	0.782949498150168
Ncoa2	5.80894177068816	6.73042280179794	6.78254038786973	6.07964379307311	6.8762686286436	5.99192703178751	6.27380118332209	6.67004717261336	7.02249422367298	6.63491799750187
Gm39595	0	0	0	0	0	0	0	0	0	0
Tram1	5.64557613624414	6.46282913615784	6.63253770585422	6.06327144323366	6.25597556744138	5.84915212000689	6.04170406006545	6.12318232247669	6.13275654933781	7.50778344192233
Lactb2	5.27506370398729	5.87601418137996	2.0127518994765	0.528315059920156	3.52404814998476	4.15794867968846	6.31052323968468	5.0333139422613	1.75075771859332	4.30218961680685
Xkr9	0	0	0	0	0	0.0854399008738851	0	0	0	0.609904544232819
Gm31195	0	0	0	0	0	0	0	0	0	0.225478582658902
Gm39596	0.32770394326537	0	0	0	0.1744800927405	0.448633666265713	0	0	0	0.62994355025639
Eya1	1.6613140180584	0	1.98417592810922	0.337062536045201	2.42367174436686	3.30181917340289	1.01829710022217	0.162865895561277	1.37126495018341	4.16139888508328
Msc	4.2553733424595	2.33405250034366	0	0	0	0	2.76518028171714	1.32087864260528	0.214714251043626	0.184290852678226
LOC105243866	1.59732691771242	0.59688587169834	0	0	0	0	1.19332133410601	0.477247063181879	0	0
Trpa1	1.5415183296014	1.0131486205946	1.24542673320533	0	1.1083219958045	3.11446049576246	0	0	2.14460315272207	4.37326961497009
Kcnb2	0.306294203349359	0	0.596633553031802	0.0563434836286607	1.1518896308964	0.459658044687555	0	0.513218914190478	0	0.982982655824235
LOC115485680	1.82495845529802	1.68400917539454	1.64526509930277	2.70399951885039	2.65919000835335	2.74886374484178	1.42054878903668	1.38393233960488	2.72150083737631	3.49435674049292
LOC115487079	0	0	0	0.0781365968773445	0.0528646651022735	0	0	0	0	0.146637157017914
LOC115487080	0.169283518500576	0	0.19263267967534	0.139785858472603	0	0.0854399008738851	0.206363669295821	0.162865895561277	0	0.319929392890828
Terf1	5.47162009255234	6.26930974043738	5.44819407903796	3.14893755583719	5.42751617378343	5.52559464098185	5.57793027158665	5.34320639070664	4.696101640925	4.99605069495617
Sbspon	0	0.237749993632475	0	0	0.0635238666917011	0.644992917512703	0	1.93051974103074	0	0.432541712395472
Gm31523	0	0	0	0	0	0.230287737574445	0	0	0	0.67525927480511
4930444P10Rik	0	0.237749993632475	0.201197375250307	0.0910805541336294	0	0.29272572116441	0	0.992901562028895	1.64282865015315	0
Rpl7	11.8996888951097	11.8613217957469	11.3706125577293	11.3266550066494	8.62580704166981	8.15727231970472	11.7783955647682	11.8125235484111	10.9894183831933	8.80304253489853
Rdh10	2.74611537671691	2.39289956552721	5.10331410690971	3.16973903958264	7.43063243721705	7.54828728057017	2.81922664453749	4.23783338995739	4.46433083536809	7.49830374404873
Stau2	3.52947933606453	5.14691879323747	7.19898315032005	6.56791327621273	6.89710879998429	6.16777801052552	3.54380050808821	5.93402136876804	6.73140501831409	5.78712951044863
Gm7568	0	0	0	0	0.228154440468843	0.219569497069407	0	0	0	0.0495808192850958
LOC115487081	0.158420424764794	0	0	0	1.68671347756447	2.04155281541519	0	0	0.214714251043626	2.57972608341873
Ube2w	4.50161242851375	4.51119305383639	7.68914843222827	6.83175248593535	8.0111852111218	7.99663503698475	4.45811298143796	5.12811677049131	7.15255839907669	8.5318708980605
Eloc	7.4613097936479	7.31629889643374	7.40601221577945	7.01220520287262	9.00430344335713	8.82066345731551	6.99219213026466	7.32158020439346	7.59590686063285	9.48171170613567
D030040B21Rik	0	0.678494445896238	0.358341835938542	0.520171244888344	0.182236700290678	0.683820779481247	0	0	1.02142721166545	0.375256527113355
Tmem70	5.56240428998857	5.63543397418983	6.43330717149839	5.19687640119421	6.28123778424788	6.01147439148174	5.44770354241972	5.77482538950495	6.93951275401278	6.81506131840698
Ly96	0.288285254557157	0.237749993632475	0.57674054925685	0	1.42885527052033	1.00564234674275	0.497724168991965	0	0.214714251043626	1.41816950706663
Jph1	0.808906745673098	0.59688587169834	3.03751244001632	1.9563473988462	4.49561734131931	3.914873888992	0.859729732531068	2.16941333724972	1.23833542544522	3.42532393405314
Gm46085	0	0	0	0	0.144200236275924	0.663465559888873	0	0	0.214714251043626	0.281199182443379
Gm31982	0	0	0	0	0.113492508357543	0.19079640437595	0	0	0	0
Gm28783	0	0	0.702857199530979	0	0.968254409955882	0.769569672558221	0	0.992901562028895	1.11767000363759	1.62109392761926
Gdap1	0.662980336298907	1.37035350321413	2.57027165706751	0.0781365968773445	6.53177130445453	8.15954078342538	0	0.880803051638192	2.55203070820748	8.06555487882788
Gm28784	0	0	1.75495338072462	0	3.87364548128653	6.22728713905619	0	0	0.214714251043626	5.22995520636744
Gm39597	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0
Gm28154	0	0	0	0	0.158410973721966	0.240524875610684	0	0	0	2.17483462959711
Gm16070	0	0	0	0	0.206301965896452	0.186340839900408	0	0	0	0.0967825889491843
Crispld1	2.97254859873345	0.950109781389286	0	0	0	0.261948438489001	2.97664798791109	2.03550891493823	0.380003993416035	1.39417958388484
Crisp4	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0.629117823728315	2.11646649107927	0	0	0	3.25135925849457
Gm15825	0	0	0	0.172493657867584	0	0	0	0	0	0.0500499122776064
Tfap2d	0	0	0	0	0	0.334111475003829	0	0	0	0.973245553678334
Tfap2b	1.2054292533759	0	0	0.172493657867584	0.180245317896347	4.24996736339636	0	0	0	3.1825700297074
Gm32651	0	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0.358341835938542	0.563577970947784	1.68458551212141	1.39785678390884	0.366677170306914	0.585154834416588	2.20523854994661	2.33945179301751
4930486I03Rik	0	0	0	0	0	0	0	0	0	0
Lincmd1	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0
Il17f	0.169283518500576	0.596267382631131	0	0	0.803984659186894	0.59069924444084	0	0	0.725427464145743	4.71472504453552
Mcm3	8.24029170934342	8.45711188890766	7.40870942453525	4.52739245924349	6.07228861065666	5.87926696994292	8.13622895835231	8.26557999232309	6.64619374780539	6.1432141171611
6720483E21Rik	0	0.358517388998656	0.358341835938542	0	0.0628564854176051	0	0	0.590201253414325	0	0
Paqr8	2.68122268802604	1.74383594187214	2.76289733052005	2.33068086788789	2.23764404731794	1.8992030635103	2.25122021430776	1.34114836029045	1.86098385020312	3.67695775523676
LOC115487083	0	0	0	0	0	0	0	0.162865895561277	0	0
Efhc1	1.17933684480966	0	4.87412664241597	2.91389687031358	1.62426957039799	1.51471656059921	0.951383146302591	2.1735041433448	3.13588004937169	2.85118192362475
Tram2	0.288285254557157	0.416262748896255	1.6015001840341	0.953378905862462	2.71141086260184	3.27054730093925	0.251114374420733	0.772895280403482	0.811558850873563	1.12631054821032
Tmem14a	1.59732691771242	1.83880912749169	2.49183285152183	2.85662493948785	2.91547917226752	3.38509151091253	0.497724168991965	2.02952982790026	1.14113232722939	2.89428405047173
Gm32947	0	0	2.71737089339189	0.134658333730238	1.20026640914599	1.60907370648373	0	1.17535608783091	2.75023529717538	0.447042000352126
Gm28836	0	0	0	0	0	0.0541840357102755	0	0	0.214714251043626	0
Gsta3	0.79999102114769	2.38930877858368	1.79018109060438	0.167698310876368	0.0509259860366959	0.281176812619161	0.437024681877613	1.7013384027233	0.627599283209845	0.156349593512349
Khdc1a	3.72371195402748	5.90297258352949	0.789266232707142	10.0762704447617	10.375472264668	8.62768665936218	1.49127018317373	3.92366507111644	1.27548362679042	9.14712461439166
Khdc1c	0	0	0	0.379063730152548	0.426171119064151	0.33580655829275	0	0	0	0.500302941269622
Gm33147	0	0	0	0	0.262995895376143	0.046368602080009	0	0	0	0.184837696083061
Khdc1b	0	1.27538031759458	2.73783514878712	9.74178120849698	11.9219999868412	11.3019317603668	0.437024681877613	0.504709419691664	3.19065992557372	10.4312084742641
Kcnq5	0.579809297412513	0	1.21215041361712	0	0.249676916590903	0.3768930359662	0	1.16975348344036	0.214714251043626	0.0498545680687295
Gm7759	0	0	0	0	0.983557593701618	1.59789942496755	0	0	0	0.835735580481404
4933415F23Rik	0	0	0.702857199530979	0	0	0	0	0	0.975842584856976	0
Gm30442	0	0	0	0	0	0	0	0	0	0
Gm29506	0	0	0.19263267967534	0.134658333730238	0	0	0	0	0	0.0482073808594404
Mir30a	0	0	0	0	0	0	0	0	0	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0
Ogfrl1	2.54685778255717	3.86979487379725	5.95981550002377	5.71394765378067	4.88042983148535	4.07452028011267	2.49594798497968	4.25972495729171	5.24202076753844	5.25845510055613
Gm19673	0	0	0	0	0	0.133227194986931	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0	0	0
B3gat2	2.57784680664998	3.45024894856868	5.10694116422736	5.8901387829563	5.10237218392892	5.09791306716558	2.39974584374817	3.8031007474789	5.95029189776727	5.16830670690179
Smap1	6.47041536641535	7.69840412918343	8.73751050438053	8.9957707213458	7.93491150694056	7.78758588470422	6.53360880681828	7.67821125002594	8.63099592980852	7.18168536500351
Gm26524	0	0	0	0	0	0.0937655819219547	0	0	0	0
Sdhaf4	6.54445272721868	6.84215790322302	6.91702761674519	6.49179646919477	7.21093384947061	7.3678491533068	6.34671703015379	6.91664942360303	6.7846933934272	7.6619087491174
Fam135a	5.19894561763653	5.39874047063231	4.79079066396352	4.03183172134381	3.60315044568876	2.72998718321855	4.61051059416427	5.78085149794765	5.90309217090676	4.43863121379804
Col9a1	3.97959158940743	4.10419582990828	0.358341835938542	0	0	0.14794961763223	2.61471682247127	2.60731874797235	0	0
Col19a1	0	0	0.671149157182695	0	0.475583627213688	2.81265429519341	0	0.350353018629201	0.380003993416035	2.79984025126016
Lmbrd1	3.95630106717399	2.58183139644208	6.07561886424084	5.06175330098509	5.08240393697137	4.85369393165428	4.3583604023863	3.74043688317838	5.62925949975506	5.9119006455236
Gm29414	0	0	0	0	0	0	0	0	0	0
Adgrb3	1.66265870430315	0.487484881406358	1.1570043989781	0.678919740848299	0.237471593854575	3.79194682008011	0.497724168991965	1.05765497304965	0	4.72881961561868
Gm20172	0.169283518500576	0	0	0	0	0.046368602080009	0	0	0	0
Gm9884	0.158420424764794	0	0	0	0	0	0	0	0	0.0482073808594404
Gm39614	0	0	0	0	0	0	0	0	0	0
Gm31076	0	0	0	0	0.0424810747453799	0	0	0	0.725427464145743	0
Gm31136	0	0	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	1.02615020395167	2.69232622285282	0	0	0	0
Gm5524	0	0	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0	0	0
Gm45942	0	0	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	0	0	0
Gm31465	0	0	0	0	0	0	0	0	0	0
Gm31525	0	0	0	0	0	0	0	0	0	0.243965434046065
Gm31581	0	0	0	0	0	0	0	0	0	0
Gm39615	0	0	0	0	0.225116115680438	0.408248309530539	0	0	0	1.19509982974291
Phf3	5.89158011432839	6.13257692292434	6.09519636157192	5.73337005503446	8.50153368933439	8.61654768225431	6.48998772319163	5.68115936549894	6.21271950656531	8.08584614774975
Gm7256	0	0	0	0.246384846137843	0.126380352109306	0	0	0	0	0
Ptp4a1	6.70339369484363	7.11231500791688	6.90281128533922	7.54590020682463	7.68538168830665	7.72382746834777	7.03303490122373	6.29554418709068	6.68322660453292	8.38544250368415
LOC115487084	0	0	0	0	0	0.0545323369465142	0	0	0	0
Gm29669	0	0	0	0	0	0	0	0	0	0.0972516819416949
Gm28644	0	0	0.358341835938542	0	0.447239046539309	1.98678679559951	0	0	0	1.56370999278232
4931428L18Rik	0	0.416262748896255	0.201197375250307	0	4.22881494256911	6.63907896104723	0	0	0	5.35336783707903
Lgsn	0.158420424764794	0.358517388998656	0	0	3.4814682958871	5.82801014388455	0	0	0	5.09225157863722
Pih1d3	0	0	0	0	0.257262623127376	0.0541840357102755	0	0	0.214714251043626	0.0914554219653198
LOC115487371	0	0	0	0	0	0	0	0	0	0
Khdrbs2	0.158420424764794	0	0	0	1.78876564546951	1.30120336715705	0	0	0	1.03589223191105
Gm9839	0	0	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0.23963510618488	0	0	0	0.162865895561277	0.349820232844819	0.0866406328849117
Gm39616	0	0	0	0	2.31203568207721	2.51643372011878	0	0	0	2.89067807369637
Gm39617	0	0	0	0	0	0.046368602080009	0	0	0	0
Prim2	6.04203008678789	6.59257306929089	6.06487520073608	5.37150810668426	6.77332355934561	6.55588578306089	5.45397925544594	6.07845940845072	5.85065607582969	5.86960936313823
1700001G17Rik	0	0.691859057317888	0.826025232761151	0.547944213435678	0.117441535807495	0.046368602080009	0	0	0.627599283209845	0.0472017696640885
Gm32229	0.579809297412513	0.61756927038984	0.870937117986468	0.0910805541336294	0.336341382358952	0	0.366677170306914	0.513218914190478	1.50316242879951	0.0495808192850958
Rab23	4.90208934999095	5.06746207793921	5.33500957631198	6.005946867064	6.33371921743533	5.89363997780361	4.79078771723962	4.97413393893751	5.13582019011351	5.73089253570207
Bag2	3.4116241929984	2.56947627265505	1.87307437176563	1.3259589940144	0.346677316264245	0.18275379878277	2.32743872143897	3.7673666533833	2.57596538110308	0.174149121061026
Zfp451	5.43133496544096	6.5084780500325	7.04435557449133	6.83818806071078	6.46952031420167	6.6521560687103	5.98372297945945	6.55563902214475	7.70961735837076	6.53143751591644
Gm15455	0.158420424764794	0.237749993632475	0.201197375250307	0.0671414483172962	0	0	0	0	0	0.856938685901629
Bend6	0.32770394326537	1.19203306204064	0.487264656241941	1.2400034307225	0.408239935621349	0.822498191047013	1.04564003998795	2.4049817372787	0.214714251043626	0.784707220351737
Gm38471	0	0	0	0.333178519304953	0	0.0937655819219547	0	0	0	0.0500499122776064
Dst	4.98699973379232	5.07415972984188	5.75620677590231	7.56556822393688	5.9716082534694	5.08098265146885	6.72518607349751	5.30866201650903	5.97780630926141	6.09785316302772
Mir6896	0	0	0	0	0	0	0	0	0	0
LOC115487354	0	0	0	0	0	0	0	0	0	0
Mir5103	0	0	0	0	0	0	0	0	0	0
Ccdc115	5.36266155927781	6.0092539071605	8.48979879550746	7.78480591455096	8.72730577120232	9.11108554555526	5.50585768874248	6.83645826073467	8.54288798909233	8.48117514968828
Imp4	6.8185892121563	6.81058531038525	6.42302088857838	5.71037430428437	6.26125993926379	7.23160905671905	6.89940540260759	6.32581441963844	5.35239928347858	7.01993176466128
Gm32504	0	0	1.73293697575372	0.50762177882105	0.705041235217037	0.908027587620446	0	0.407746727612306	1.8677548905568	0.666585352260418
Ptpn18	0.822647952030461	0.43905651512606	4.93129023651644	5.46467762870277	6.2509056860503	4.939896861351	0.859729732531068	1.12848049009588	5.73846620982197	6.21291127784863
4930568A12Rik	0	0	0	0	0	0.283040314453138	0	0	0	0
Gm32566	0	0	0	0	0	0	0	0	0	0.255957897446784
Prss39	0	0	0	0	0	0	0	0	0.349820232844819	0.425707636907214
Cfc1	2.41398271520769	2.98614752701746	1.99178322210619	0	0.207156610802996	0.844759037464455	1.82828108392272	2.48299355666316	2.60788922776213	1.09693771701831
Prss40	0.169283518500576	0.237749993632475	0	0	0	0.0541840357102755	0.366677170306914	1.17535608783091	0.349820232844819	0.452024526975895
Amer3	0.32770394326537	0	0	0	0	0.128221461836256	0	0.407746727612306	0	0.618150477773409
Gm38647	0	0	0	0	0	0	0	0	0	0
Arhgef4	1.51089877362818	1.2683068058	2.71733826796501	0.621121411239897	3.39508949210775	2.89104745077074	0.748838543412698	2.60930983261419	2.25161473372383	3.61350030044975
Gm32920	0	0	0	0	0	0	0	0.477247063181879	0	0
Gm32790	0.457568773057733	0	0.201197375250307	0	0.49813746977046	0.569911560519687	0	0	0.51435529297707	0.426373556273871
Fam168b	6.78592237982708	6.28183733505799	6.5092198812416	7.05968818177229	6.42422829645645	5.93054846745983	6.55715217033357	5.75573076087839	6.39711957279963	5.48886386729232
Plekhb2	4.0764310506093	3.24678852413478	5.88219280062625	5.96999140894416	3.87587766555876	3.85034352735515	3.22620491349574	4.73363739333979	5.92753490961669	3.7761677229382
1110002O04Rik	0	0	0	0	0	0.0739181263953266	0	0	1.72665512409248	0.386677057744543
Gm33176	0.158420424764794	1.25110537025259	0	0	0.0509259860366959	0	0	0.786414922521186	0	0
Gm39622	0	0	0	0	0	0	0	0	0	0
Gm33222	0	0.43905651512606	1.1570043989781	0	0	0	0.497724168991965	0.646001235850804	0	0
Gm39623	0	0	0	0	0	0	0	0	0	0
Gm39624	0	0	0	0	0.116721451204646	0	0	0	0	0.184837696083061
Hs6st1	3.56785042570243	4.11016850870588	4.63086733324446	5.55003682721309	5.97074228163871	5.13928901395529	3.45994378076658	3.86844872040745	4.16482578160085	4.88556941870252
Gm33280	0	0	0.19263267967534	0	0.0917286864449568	0	0	0	0.349820232844819	0.0495808192850958
Uggt1	5.78550876078315	5.02981961746687	5.44352842487991	3.11747822254069	5.18792126295326	4.48246562982704	5.81932202917547	5.45165656226422	5.90161330414409	5.11640776880635
Mir6897	0	0	0	0	0	0	0	0	0	0
Gm39625	0	0	0	0	0.0635238666917011	0.0976131740748542	0	0	0	0.0482073808594404
Neurl3	0.288285254557157	0	0.19263267967534	0	0	0	0	0.295648217221603	0.51435529297707	0.46655055730242
Arid5a	2.71549996730152	1.96187797788065	2.35715185699294	1.29071781064495	4.0862325048467	3.36142149604134	3.94560422019845	1.67745367649447	1.74685467581119	2.38498903083074
Kansl3	5.16300277335011	5.55051604286789	6.52590192086343	5.59978473709033	4.56909854430908	4.30487937762066	5.21186631371909	5.89434211803912	7.33348602685108	4.29228534998994
Mir6898	0	0	0	0	0	0	0	0	0	0
Fer1l5	0.288285254557157	1.08867975313718	2.0127518994765	1.17220424826464	1.7986169198098	1.51866432789138	0.457478043716555	1.53573295927709	3.07933479580349	1.73543691410212
Lman2l	5.36573309389146	5.44338765208163	6.8296424406052	6.47694096128615	5.80869689451753	5.30873888972369	5.26045259951667	4.96127441738295	6.22249454249429	4.44286265695717
Gm33401	0.158420424764794	0	0	0.172493657867584	2.41959629056828	2.96959866464773	0	0	0.380003993416035	0.309712665457554
Gm33454	0	0	0.19263267967534	0.318429049091938	0	0.0541840357102755	0	0.196213669106861	1.64902649487529	0.0967825889491843
Cnnm4	2.56032589799746	3.28480155289769	6.7955951822898	5.35886777560887	5.17056300642909	3.97289414318111	2.51179856558187	3.92532199640517	6.77402569264004	4.82930025682538
Cnnm3	4.39181399127888	5.07870264059602	5.24933707591402	3.86194955418523	4.35000736129846	1.69475148286452	4.44979288234938	4.39093139907743	5.6516584544282	2.262461034749
Ankrd23	2.08378249357523	0.903747630302613	2.5072895091732	2.81485281329787	0.410315583610533	0.144427802295941	2.52889263996443	2.48299355666316	2.60503325819925	0.126767365768171
Ankrd39	3.66969088057237	3.69932837760436	3.98984048576693	2.26740358845757	1.66140786338177	1.007640760687	3.7365015858148	4.23783338995739	4.13853581591208	1.60763563675737
Sema4c	1.60388799742797	0.358517388998656	0.201197375250307	0.681653027428202	1.03365178127137	0.507800325097117	0.437024681877613	0.196213669106861	0.51435529297707	0.420110258522193
Fam178b	2.41516149600858	4.5479051738728	5.38371820315427	3.64854032557795	3.84164095751657	3.45504900021593	2.23198427091792	4.91266806790768	4.7291759272433	3.39699830785308
Cox5b	9.27245749593909	9.07261229223293	9.11442971722031	9.51935739027102	7.79069565366535	8.20918365219397	9.0856806522843	9.34172506586687	9.46567526565553	8.13191420150155
Actr1b	6.98897021346164	6.15610810095379	6.90943756724664	4.99200358850651	4.91994370771613	2.89762622463689	7.38224248500382	6.03600413160469	6.69846393000102	4.25246799713945
Gm33533	0	0	0	0	0	0.0545323369465142	0	0	0	0.322886802760353
4933424G06Rik	0	0	0.19263267967534	0	0.105337560162985	0.283068084909449	0	0.504709419691664	0.380003993416035	0.749516425931151
Zap70	0.79999102114769	1.37770779609198	0.487264656241941	0	2.98041007822978	1.73754753852205	0	1.62894647737798	1.09874048472748	2.49023945895596
Tmem131	6.22208810228607	6.42866646086031	6.7160989466472	6.28136991281715	6.81455229640034	6.44045140866442	6.50864173743197	6.20007932542169	7.20850692410296	6.62628323634439
Vwa3b	0.594579457906516	0.59688587169834	0.201197375250307	2.40480003993709	0.207987394073583	0.752262698293656	0	0.359079564668138	0.627599283209845	0.680631925765057
Gm39626	0	0	0	0	0	0	0	0	0	0
Gm37020	0	0	0	0	0	0	0	0	0	0
Cnga3	0.158420424764794	0.237749993632475	0	0	0.0424810747453799	0	0	0.196213669106861	0.51435529297707	0
